resource_geoid,category,count
36081032700,food retail,0
36081032900,food retail,0
36081033700,food retail,0
36081033900,food retail,0
36081035100,food retail,0
36081035300,food retail,0
36081036100,food retail,0
36081036300,food retail,0
36081037500,food retail,1
36081037700,food retail,0
36081037900,food retail,0
36081038400,food retail,0
36081039400,food retail,0
36081040000,food retail,0
36081040200,food retail,0
36081040300,food retail,1
36081041100,food retail,1
36081041300,food retail,0
36081041500,food retail,1
36081043400,food retail,0
36081044301,food retail,0
36081044302,food retail,0
36081044602,food retail,0
36081049600,food retail,1
36081044800,food retail,0
36081045700,food retail,0
36081045900,food retail,0
36081046100,food retail,1
36081046700,food retail,0
36081046900,food retail,0
36081048100,food retail,0
36081048300,food retail,0
36081048900,food retail,0
36081049500,food retail,0
36081050201,food retail,0
36081050202,food retail,0
36081050400,food retail,0
36081050600,food retail,0
36081050800,food retail,0
36081051000,food retail,0
36081051200,food retail,0
36081051800,food retail,0
36081052000,food retail,0
36081052400,food retail,0
36081052500,food retail,0
36081052600,food retail,0
36081053000,food retail,0
36081053200,food retail,0
36081053601,food retail,0
36081054000,food retail,5
36081054200,food retail,0
36081054500,food retail,5
36081054700,food retail,4
36081054900,food retail,7
36081055100,food retail,3
36081055300,food retail,2
36081055600,food retail,0
36081055800,food retail,0
36061013400,food retail,9
36081058300,food retail,1
36081058500,food retail,4
36081058700,food retail,1
36081058900,food retail,1
36081059100,food retail,4
36081059300,food retail,2
36081059400,food retail,0
36081059600,food retail,0
36081059800,food retail,0
36081059900,food retail,0
36081060000,food retail,0
36081060600,food retail,0
36081060800,food retail,0
36081061400,food retail,0
36081062700,food retail,0
36081065702,food retail,0
36081065703,food retail,1
36081065900,food retail,0
36081066000,food retail,0
36081066100,food retail,0
36081066701,food retail,0
36081067100,food retail,0
36081067700,food retail,0
36081067900,food retail,0
36081069300,food retail,0
36081069500,food retail,0
36081069701,food retail,0
36081069702,food retail,0
36081071306,food retail,0
36081071900,food retail,0
36081072100,food retail,0
36081072900,food retail,0
36081073900,food retail,0
36081074100,food retail,0
36081074300,food retail,1
36081077904,food retail,0
36081077906,food retail,0
36081079900,food retail,1
36081085300,food retail,1
36081086100,food retail,0
36081087100,food retail,2
36081092800,food retail,0
36081102900,food retail,0
36081103300,food retail,0
36081105900,food retail,0
36081113900,food retail,0
36081114700,food retail,0
36081115700,food retail,0
36081116100,food retail,0
36081117500,food retail,0
36081118100,food retail,0
36081118500,food retail,0
36081118700,food retail,0
36081119100,food retail,0
36081119300,food retail,0
36081119500,food retail,0
36081120300,food retail,0
36081120500,food retail,0
36081124100,food retail,0
36081124700,food retail,0
36081129104,food retail,0
36081133900,food retail,1
36081140901,food retail,0
36081112900,food retail,1
36081140902,food retail,0
36081145102,food retail,1
36081157901,food retail,0
36081157902,food retail,0
36081157903,food retail,1
36081001800,food retail,0
36081002000,food retail,1
36081020400,food retail,1
36081003200,food retail,0
36081026700,food retail,1
36005036901,food retail,1
36005036902,food retail,0
36081047000,food retail,0
36005023501,food retail,1
36005040302,food retail,1
36005026702,food retail,0
36081048000,food retail,0
36005023302,food retail,3
36081018800,food retail,0
36081019200,food retail,0
36081017400,food retail,0
36081017600,food retail,0
36081143500,food retail,0
36081013800,food retail,0
36081028400,food retail,2
36081058000,food retail,0
