GEOID,category,weighted_score
36005007700,Workforce Development/Workforce1 Career Center,9
36005007700,NA,NA
36005007800,Center,513
36005007800,Family,2465
36005007800,School,211
36005007800,Store,1777
36005007800,Workforce Development/HRA Job Center,9
36005007800,Workforce Development/Job Plus Site,4
36005007800,Workforce Development/Workforce1 Career Center,8
36005007800,NA,NA
36005007900,Center,585
36005007900,Family,2871
36005007900,School,257
36005007900,Store,2474
36005007900,Workforce Development/HRA Job Center,17
36005007900,Workforce Development/Job Plus Site,5
36005007900,Workforce Development/Workforce1 Career Center,10
36005007900,NA,NA
36005008300,Center,618
36005008300,Family,2892
36005008300,School,265
36005008300,Store,2593
36005008300,Workforce Development/HRA Job Center,17
36005008300,Workforce Development/Job Plus Site,5
36005008300,Workforce Development/Workforce1 Career Center,9
36005008300,NA,NA
36005008400,Center,324
36005008400,Family,1417
36005008400,School,139
36005008400,Store,1123
36005008400,Workforce Development/HRA Job Center,9
36005008400,Workforce Development/Job Plus Site,4
36005008400,Workforce Development/Workforce1 Career Center,4
36005008400,NA,NA
36005008500,Center,589
36005008500,Family,2865
36005008500,School,251
36005008500,Store,2434
36005008500,Workforce Development/HRA Job Center,17
36005008500,Workforce Development/Job Plus Site,5
36005008500,Workforce Development/Workforce1 Career Center,9
36005008500,NA,NA
36005008600,Center,353
36005008600,Family,1645
36005008600,School,158
36005008600,Store,1266
36005008600,Workforce Development/HRA Job Center,8
36005008600,Workforce Development/Job Plus Site,4
36005008600,Workforce Development/Workforce1 Career Center,5
36005008600,NA,NA
36005008700,Center,582
36005008700,Family,2901
36005008700,School,255
36005008700,Store,2448
36005008700,Workforce Development/HRA Job Center,17
36005008700,Workforce Development/Job Plus Site,5
36005008700,Workforce Development/Workforce1 Career Center,9
36005008700,NA,NA
36005008900,Center,610
36005008900,Family,2918
36005008900,School,258
36005008900,Store,2488
36005008900,Workforce Development/HRA Job Center,17
36005008900,Workforce Development/Job Plus Site,5
36005008900,Workforce Development/Workforce1 Career Center,8
36005008900,NA,NA
36005009000,Center,326
36005009000,Family,1437
36005009000,School,140
36005009000,Store,1135
36005009000,Workforce Development/HRA Job Center,8
36005009000,Workforce Development/Job Plus Site,4
36005009000,Workforce Development/Workforce1 Career Center,4
36005009000,NA,NA
36005009200,Center,567
36005009200,Family,2715
36005009200,School,240
36005009200,Store,2127
36005009200,Workforce Development/HRA Job Center,13
36005009200,Workforce Development/Job Plus Site,5
36005009200,Workforce Development/Workforce1 Career Center,8
36005009200,NA,NA
36005009300,Center,531
36005009300,Family,2801
36005009300,School,225
36005009300,Store,2192
36005009300,Workforce Development/HRA Job Center,12
36005009300,Workforce Development/Job Plus Site,5
36005009300,Workforce Development/Workforce1 Career Center,7
36005009300,NA,NA
36005009600,Center,510
36005009600,Family,2555
36005009600,School,209
36005009600,Store,1878
36005009600,Workforce Development/HRA Job Center,10
36005009600,Workforce Development/Job Plus Site,4
36005009600,Workforce Development/Workforce1 Career Center,6
36005009600,NA,NA
36005009800,Center,451
36005009800,Family,2039
36005009800,School,183
36005009800,Store,1490
36005009800,Workforce Development/HRA Job Center,9
36005009800,Workforce Development/Job Plus Site,4
36005009800,Workforce Development/Workforce1 Career Center,7
36005009800,NA,NA
36005011000,Center,155
36005011000,Family,528
36005011000,School,54
36005011000,Store,397
36005011000,Workforce Development/Job Plus Site,2
36005011000,Workforce Development/Workforce1 Career Center,4
36005011000,NA,NA
36005011502,Center,570
36005011502,Family,2890
36005011502,School,248
36005011502,Store,2393
36005011502,Workforce Development/HRA Job Center,14
36005011502,Workforce Development/Job Plus Site,5
36005011502,Workforce Development/Workforce1 Career Center,7
36005011502,NA,NA
36005011700,Center,590
36005011700,Family,2863
36005011700,School,253
36005011700,Store,2415
36005011700,Workforce Development/HRA Job Center,16
36005011700,Workforce Development/Job Plus Site,5
36005011700,Workforce Development/Workforce1 Career Center,8
36005011700,NA,NA
36005011800,Center,118
36005011800,Family,464
36005011800,School,46
36005011800,Store,365
36005011800,Workforce Development/Job Plus Site,1
36005011800,Workforce Development/Workforce1 Career Center,2
36005011800,NA,NA
36005011900,Center,596
36005011900,Family,2906
36005011900,School,261
36005011900,Store,2469
36005011900,Workforce Development/HRA Job Center,17
36005011900,Workforce Development/Job Plus Site,5
36005011900,Workforce Development/Workforce1 Career Center,7
36005011900,NA,NA
36005012101,Center,537
36005012101,Family,2843
36005012101,School,235
36005012101,Store,2284
36005012101,Workforce Development/HRA Job Center,13
36005012101,Workforce Development/Job Plus Site,4
36005012101,Workforce Development/Workforce1 Career Center,9
36005012101,NA,NA
36005012102,Center,579
36005012102,Family,2890
36005012102,School,254
36005012102,Store,2364
36005012102,Workforce Development/HRA Job Center,17
36005012102,Workforce Development/Job Plus Site,5
36005012102,Workforce Development/Workforce1 Career Center,9
36005012102,NA,NA
36005012300,Center,533
36005012300,Family,2803
36005012300,School,234
36005012300,Store,2272
36005012300,Workforce Development/HRA Job Center,13
36005012300,Workforce Development/Job Plus Site,4
36005012300,Workforce Development/Workforce1 Career Center,9
36005012300,NA,NA
36005012500,Center,532
36005012500,Family,2828
36005012500,School,224
36005012500,Store,2239
36005012500,Workforce Development/HRA Job Center,11
36005012500,Workforce Development/Job Plus Site,4
36005012500,Workforce Development/Workforce1 Career Center,8
36005012500,NA,NA
36005012701,Center,568
36005012701,Family,2887
36005012701,School,246
36005012701,Store,2408
36005012701,Workforce Development/HRA Job Center,14
36005012701,Workforce Development/Job Plus Site,5
36005012701,Workforce Development/Workforce1 Career Center,9
36005012701,NA,NA
36005012901,Center,542
36005012901,Family,2831
36005012901,School,239
36005012901,Store,2348
36005012901,Workforce Development/HRA Job Center,14
36005012901,Workforce Development/Job Plus Site,4
36005012901,Workforce Development/Workforce1 Career Center,9
36005012901,NA,NA
36005013000,Center,146
36005013000,Family,554
36005013000,School,57
36005013000,Store,443
36005013000,Workforce Development/HRA Job Center,1
36005013000,Workforce Development/Job Plus Site,2
36005013000,Workforce Development/Workforce1 Career Center,4
36005013000,NA,NA
36005013100,Center,520
36005013100,Family,2822
36005013100,School,220
36005013100,Store,2242
36005013100,Workforce Development/HRA Job Center,14
36005013100,Workforce Development/Job Plus Site,4
36005013100,Workforce Development/Workforce1 Career Center,8
36005013100,NA,NA
36005013200,Center,114
36005013200,Family,448
36005013200,School,47
36005013200,Store,356
